word,meaning,hiragana,kanji
大,big,おお・きい,y
小,small,ちい・さい/しょう,y
眠い,sleepy/sleep,ねむ・い,y
悪い,bad,わる・い,y
いい,good,いい,n
簡単な,easy,かんたんな,y
難しい,difficult,むずかしい,y
ちょっと,a bit/a little,ちょっと,y
正直な,honest,しょうじきな,y
短い,short,みじかい,y
新しい,new,あたらしい,y
痛い,hurts,いたい,y
暑い,hot,あつい,y
冷たい,cold/cold (to the touch),つめたい,y
寒い,cold/cold (unpleasant weather),さむい,y
涼しい,cool/cold/cold (pleasant weather),すずしい,y
危ない,dangerous,あぶない,y
暖かい,warm/pleasantly hot,あたたかい,y
のんびり,in a relaxed manner/at leisure/relaxed,のんびり,n
近い,near,ちかい,y
太い,thick/fat,ふとい,y
欲しい,want/wish for/longing/greed/passion,ほしい,
高い,expensive,たかい,y
丁寧な,polite,ていねいな,y
早い,early/fast,はやい,y
入れる,to put inside,いれる,y
古い,old,ふるい,y
好きな,like,すきな,y
嫌いな,dislike/hate,きらいな,y
同じ,the same/equal/agree,おなじ,y
忙しい,busy/hectic,いそがしい,y
面白い,interesting,おもしろい,y
安い,cheap,やすい,
静かな,quiet,しずかな,y
楽しい,fun/enjoyable,たのしい,y
五月蠅い,noisy/annoying/troublesome,うるさい,n
遠い,far,とおい,y
近い,close/approach/recent,ちかい,y
強い,strong,つよい,y
弱い,weak,よわい,y
気楽な,comfortable/carefree,きらくな,y
強引な,overbearing/forceful/coercive,ごういんな,y
みたいな,looks like/resembling,みたいな,n
皆,everyone,みんな,y
沢山,a lot/many,たくさん,y
絶対,definitely/unconditionally,ぜったい,y
お喋りな,chatty,おしゃべりな,y
得意な,one's strong point/triumph/prosperity,とくいな,y
