word,meaning,hiragana,kanji
日曜日,sunday,にちようび,y
月曜日,monday/moon day,げつようび,y
火曜日,tuesday/fire day,かようび,y
水曜日,wednesday/water day,すいようび,y
木曜日,thursday/tree day,もくようび,y
金曜日,friday/gold day,きんようび,y
土曜日,saturday/earth day,どようび,y
一月,january,いちがつ,y
二月,febuary,にがつ,y
三月,march,さんがつ,y
四月,april,しがつ,y
五月,may,ごがつ,y
六月,june,ろくがつ,y
七月,july,しちがつ,y
八月,august,はちがつ,y
九月,september,くがつ,y
十月,october,じゅうがつ,y
十一月,november,じゅういちがつ,y
十二月,december,じゅうにがつ,y
一時,one oclock,いちじ,y
二時,two oclock,にじ,y
三時,three oclock,さんじ,y
四時,four oclock,よじ,y
五時,five oclock,ごじ,y
六時,six oclock,ろくじ,y
七時,seven oclock,しちじ,y
八時,eight oclock,はちじ,y
九時,nine oclock,くじ,y
十時,ten oclock,じゅうじ,y
十一時,eleven oclock,じゅういちじ,y
十二時,twelve oclock,じゅうにじ,y
来週,next week,らいしゅう,y
今週,this week,こんしゅう,y
先週,last week,せんしゅう,y
去年,last year,きょねん,y
今年,this year,こんねん/ことし,y
来年,next year,らいねん,y
半年,half a year/six months,はんとし,y
大晦日,new years eve,おおみそか,y
来月,next month,らいげつ,y
今月,this month,こんげつ,y
先月,last month,せんげつ,y
一日中,all day,いちにちじゅう,y
毎日,everyday,まいにち,y
今日,today,きょう,y
昨日,yesterday,きのう,y
明日,tomorrow,あした,y
朝,morning,あさ,y
早朝,early morning,そうちょう,y
今朝,this morning,けさ,y
昼,noon/daytime,ひる,y
夜,evening/night/(7-12),よる,y
晩,evening/night/(4-7),ばん,y
昨晩,last night/(form),さくばん,y
昨夜,last night/(form),さくや,y
昨日の夜,last night/(yesterdays night,きのうのよる,y
間,period of time,かん/あいだ/ま/あい/けん,y
休日,day off/holiday,きゅうじつ,y
最近,recently/lately,さいきん,y
春,spring,はる,y
