word,meaning,hiragana,kanji
来,come/due/next/cause/become,くる,y
役,duty/war/service,やく/えき,y
起,rouse/wakeup,お,y
毎,every,まい,y
行,to go,いく,y
写,copy/be photographed/describe,しゃ,y
真,true/reality/buddhist sect,しん,y
料,fee/materials,りょう,y
理,logic/arrangement/reason/justice/truth,ことわり/り,y
楽,music/comfort,たの,y
歌,sing/song,うた,y
好,fond,すき,y
酒,alcohol,さけ,y
嫌,detest/hate,きら・い,y
強,strong,つよ,y
分,part/minute,ぷん,y
回,times/counter for occurances,まわ,y
台,predestal/counter for machines and vehicles,だい,y
語,word/speech/language,かた/ご,y
茶,tea,ちゃ/さ,y
口,mouth,くち,y
英,england,えい/はなぶさ,y
撮,snapshot/take picture,とる,y
勉,exertion,すと,y
昼,noon/daytime,ほる,y
晩,night,ばん,y
夜,night/evening,よ/よる/や,y
寝,lie down/sleep/rest,ね・る/しん,y
教,teach/faith,おし/きょう,y
画,brush stroke/picture,が,y
手,hand,て,y
紙,paper,かみ,y
飯,meal/boiled rice,めし/はん,y
朝,morning/dynasty/regime,あさ/ちょう,y
薬,medicine/chemical/gunpowder,くすり/やく,y
乳,milk/breast,ちち/にゅう,y
牛,cow,うし/ぎゅう,y
本,book/origin,もと/ほん,y
読,read,よ・む/どく,y
映,projection/reflect,えい,y
個,individual,こ/か,y
一,one,いち/ひと,y
二,two,に/ふたつ,y
三,three,さん/み,y
四,four,よ/よん/し,y
五,five,ご/いつ,y
六,six,ろく/むい,y
飲,drink,の・む/いん,y
建,build,た/けん,y
物,thing,もの/ぶつ,y
折,fold/break/fracture/submit,お・る/せつ,y
取,take/fetch/grab,と・る/しゅ,y
売,sell,う・る,y
来,come,く・る/らえ/けい,y
時,hour,じ/とき,y
聞,hear/listen,きく,y
話,talk/tale,はな・す/わ,y
言,say,う・い/げん/ごん,y
買,buy,か・う,y
有,posses/exist,あ・る/ゆう/う,y
暑,hot,あつ・い/しょ,y
夏,summer,なつ/か/が/げ,y
起,wake up/rouse,お・きる/き,y
寝,liedown/sleep,ね・る/しん,y
書,write,か・く/しょ,y
学,study/learning,まな・ぶ/かく,y
入,enter/insert,い・る/にゅう/じゅ,y
公,public/prince/official,おおやけ/こう,y
園,park/garden/yard/farm,その/えん,y
汚,dirty/pollute/rape/disgrace,きたな・い/お,y
光,light/shine/brilliance,ひか・る/ひかり/こう,y
静,queit,しず・かな/せい/じょう,y
食,eat,た・べる/しょく,y
堂,public hall,どう,y
卓,table/desk/high,たく,y
夕,evening,ゆう,y
字,letter/word/character,あざ/じ,y
漢,china,かん,y
車,car,くるま,y
見,to see/see,み・る,y
心,heart,しん,y
形,shape/form/style,けい/ぎょう,y
容,contain/form/looks,い・れる/よう,y
切,cut/cut off/be sharp,せつ,y
田,ricefield,た,y
天,heaven/sky/imperial,たん・き/あまつ/あめ/あま,y
気,sprirt/atmosphere/mood,き/いき/け,y
空,sky/vacant/vaccum,さら/くう,y
雨,rain,あめ/あま/う,y
勇,courage/cheer up/bravery/heroism,いさ・む/よう,y
者,someone/person,もの/しゃ,y
山,mountain,やま/さん/せん,y
川,river,かわ/せん,y
石,stone,いし/せき/しゃく/こく,y
水,water,みず/すい,y
金,gold,きん/かね,y
火,fire,ひ/ほ/か,y
日,sun/day,ひ/にち/じつ,y
土,earth,ど/と/つち,y
今,now,いま/こん/きん,y
沈,sink/to sink,しず・む/しず・める/ちん/じん,y
曜,weekday,よう,y
人,person,ひと/じん/こん,y
目,eye,め/ま/てく,y
月,moon/month,つき/げつ/がつ,y
大,big,おお/だい/だい,y
中,medium/inside/centre,なか/ちゅう,y
小,small,ちい・さい/こ/お/しょう,y
円,yen/round,まる/えん,y
