word,meaning,hiragana,kanji
する,to do,する,n
何,what,なに,y
かわいい,cute,かわいい,n
勉強する,to study,べんきょうする,y
口,mouth,くち,y
英語,english,えいご,y
好き,like,すき,y
お酒,alcohol,おさけ,y
テレビ,television,てれび,n
映画,movie,えいが,y
手紙,letter,てがみ,y
書く,to write,かく,y
ご飯,rice/meal,ごはん,y
朝ごはん,breakfast,あさごはん,y
昼ゴハン,lunch,ひるごはん,y
今晩,this evening/tonight,こんばん,y
晩ごはん,dinner,ばんごはん,y
寝る,sleep,ねる,y
教える,teach,おしえる,y
日本語,japanese,にほんご,y
初めて,for the first time,はじめて,y
公園,park/public park/public garden,こうえん,y
トイレ,toilet,といれ,y
汚い,dirty,きたない,y
にする,i will have/i will choose,n
一つ,one thing,ひとつ,y
明日,tomorrow,あした,y
いきます,to go,いきます,n
ともだち,friend,ともだち,n
きます,to come,きましす,n
建物,building,たてもの,y
静かな,quiet,静かな,y
市販,exam,しはん,y
いいね,how nice/i like it/sounds good,いいね,n
天気,weather,てんき,y
空気,air,くうき,y
大切な,important,たいせつな,y
