word,meaning,hiragana,kanji
もう,already,もう,n
あと + amount,for another (amount),あと,n
あまり　+ negation, not really/not much/not very/(form),あまり,n
あんまり　+ negation, not really/not much/not very/(in),あんまり,n
何も + negation,nothing/anything/(I don't x anything),なにも,y
後で,afterwards,あとで,y
また,again,また,n
もいいですか,may I,もいいですか,y
何時も,always/everytime,いつも,y
最近,recently/these days,さいきん,y
まで,up to/until,まで,y
ことある,have done/been to/(verb is た form and comes before this),ことある,n
ことがあります,have done/been to/(verb is た form and comes before this),ことがあります,n
ことない,never done/never been to/(verb is た form and comes before this),ことない,n
ことがありません,never done/never been to/(verb is た form and comes before this),ことがありません,n
たくさん,a lot,たくさん,y
もっと,more/even more,もっと,y
方が,more than/(comparison more),y
