word,meaning,hiragana,kanji
勉強する,study/to study,べんきょうする,y
起きる,wake up/rouse,おきる,y
書く,write/to write,かく,y
寝る,to sleep,ねる,y
教える,to teach/teach,おしえる,y
する,do/to do,する,n
行く,to go/go,いく,y
切る,to cut/cut,きる,y
来る,to come,くる,y
有る,to posses/posses,ある/ゆう,y
上る,to climb/to ascend,のぼる,y
登る,to climb/to ascend,のぼる,y
上がる,to go up,あがる,y
上げる,to raise/to fly/to launch/(fly something)/(launch fireworks etc.),あげる,y
下げる,to lower,さげる,y
会う,to meet,あう,y
言う,to say,いう,y
待つ,to wait,まつ,y
勝つ,to win,かつ,y
立つ,to stand,たつ,y
座る,to sit down/to sit,すわる,y
買う,to buy,かう,y
売る,to sell,うる,y
取る,to take,とる,y
撮る,to take/to snapshot/to take a picture,とる,y
乗る,to ride/board/get on/(transport),のる,y
着る,to wear/don,きる,y
向かう,to head/to go towards/(go towards somewhere),むかう,y
持つ,to hold,もつ,y
開ける,to open/(someone) open,あける,y
閉める,to close/(someone) close,しめる,y
開く,opens/(something is) open,あく,y
足りる,to have enough,たりる,y
泣く,to cry,なく,y
泳ぐ,to swim,およぐ,y
嗅ぐ,to sniff,かぐ,y
急ぐ,to hurry,いそぐ,y
頑張る,to try ones best/try ones hardest/do your best/good luck,がんばる,y
読む,to read,よむ,y
呼ぶ,to call/invite/(to call me by this name),よぶ,y
住む,will live/will live somewhere,すむ,y
飛ぶ,to fly,とぶ,y
死ぬ,to die,しぬ,y
亡くなる,to pass away,なくなる,y
復習する,to review,ふくしゅうする,y
復讐する,to revenge/get revenge,ふくしゅうする,y
置く,to place/to put/to leave behind/to pawn,おく,y
掃除する,to clean,そうじする,y
消す,to turn off,けす,y
押す,to push/to press,おす,y
持って来る,to bring/(bring an object),もってくる,y
連れる,to bring someone,つれる,y
連れてくる,to bring/bring someone,つれてくる,y
話す,to talk/to speak,はなす,y
触る,to touch,さわる,y
あげる,to give/(not someone to me),あげつ,n
くれる,to give/(someone to me),くれる,n
もらう,to receive,もらう,n
借りる,to borrow/to rent,かりる,y
直す,to fix,なおす,y
注文する,to order,ちゅうもんする,y
使う,to use,つかう,y
作る,to make,つくる,y
仕事する,to work,しごとする,y
洗う,to wash,あらう,y
聞く,to listen/to ask,きく,y
聞こえる,to hear,きこえる,y
歌う,to sing,うたう,y
知る,to find out/to know,しる,y
要る,to be needed/to need,いる,y
走る,to run,はしる,y
歩く,to walk,あるく,y
やる,to do/(play),やる,n
プレイする,to play,ぷれいする,n
遊ぶ,to play/to hangout,あそぶ,y
生きる,to live,いきる,y
生える,to grow,はえる,y
目立つ,to stand out,めだつ,y
負ける,to lose,まける,y
勝つ,to win,かつ,y
間違える,to make a mistake,まちがえる,y
失敗する,to fail,しっぱいする,y
訪ねる,to visit/(very formal - not used much),たずねる,y
質問をする,to ask a question,しつもんをする,y
散歩する,to walk,さんぽする,y
落とす,to drop/ to lose/to let fall,おとす,y
落ちる,to drop/to fall,おちる,y
緊張する,to get nervous,きんちょうする,y
心配する,to worry,しんぱいする,y
落ちる,to drop,おちる,y
見つける,to discover/to find,みつける,y
見つかる,to be found/to be discovered,見つかる,y
去る,to leave/to go away,さる,y
成る,to become/to get/to grow/to reach,なる,y
拾う,to pick up/to gather,ひるう,y
忘れる,to forget,わすれる,y
電話をする,to call,でんわをする,y
電話をかける,to call/(to make a phone call),でんわをかける,y
送る,to send,おくる,y
出す,to extract/to put out/to take out/to send,だす/でる,y
噓をつく,to lie,うそをつく,y
見せる,to show,みせる,y
着く,to arrive,つく,y
怒鳴る,to yell,どなる,y
埋める,to bury,うめる,y
育てる,to raise/to rear/to bring up,そだてる,y
始める,to start,はじめる,y
酔う,to get drunk,よう,y
思う,to think,おもう,y
取り替える,to exchange,とりかえる,y
生まれる,to be born,うまれる,y
生ける,to arrange flowers/to plant,いける,y
出る,to come out/to leave/to appear/(to appear on stage)/to answer/(answer the phone),でる,y
入れる,to put in,いれる,y
入る,to enter/to join,はいる,y
止める,to stop,やめる,y
手伝う,to help,てつだう,y
払う,to pay,はらう,y
運動する,to exercise,うんどうする,y
頼む,to ask a favor,たのむ,y
学ぶ,to learn,まなぶ,y
見える,to be seen,みえる,y
送る,to send/to dispatch/to transmit/to see off/(take someone home,おくる,y
壊す,to brake,こわす,y
迎えに来る,to be picked up/someone pick me up,むかえにくる,y
渡る,to transit/to cross,わたる,y
運転する,to drive,うんてんする,y
探す,to search/to look for,さがす,y
強いる,to impose,しいる,y
楽しむ,to enjoy oneself,たのしむ,y
決める,to choose/to decide,きめる,y
お金を貯める,to save money,おかねをためる,y
似合う,to look good in/to suit,にあう,y
振られる,to be rejected/to be dumped/to be given the cold shoulder,ふられる,y
別れる,to part from/to part with/to break up/to divorce,わかれる,y
分かれる,to branch/to fork/to split,わかれる,y
出来る,to be able to do/to be ready for,できる,y
喋る,to chat,しゃべる,y
お喋りする,to chat,おしゃべりする,y
宿題をする,to do homework,しゅくだいをする,y
始末する,to manage/to deal with,しまつする,y
残る,to be left/to remain,のこる,y
いける,to be good/(to be good at)/to go well,いける,n
外に出る,to go outside,そとにでる,y
一人で行く,to go alone,ひとりでいく,y
聞こえる,to be heard/to be audible,きこえる,y
タバコを吸う,to smoke/(tabaco),たばこをすう,y
鍵をかげる,to lock,かぎをかける,y
コートをかける,to hang a coat,コートをかける,n
めがねをかける,to wear glasses,めがねをかける,n
付ける,to join/to attach/to stick,つける,y
歯を磨く,to brush teeth,はをみがく,y
シャワーを浴びる,to take a shower,シャワーをあびる,y
